ORCH_1_Dstop,ORCH_1_Drestart,ORCH_1_Fstop,ORCH_1_Frestart,PSCS__TAU,HUM_1_VEL,HUM_2_VEL,HUM_1_FW,HUM_1_FTG,HUM_2_FW,HUM_2_FTG,HUM_1_POS,HUM_2_POS,ROB_1_VEL,ROB_1_CHG,PRSCS_LOWER_BOUND,PRSCS_UPPER_BOUND
6.54,3.26,0.8,0.28,254,59.0,39.0,distr,y/s,free,y/u,"2500.00, 500.00","1517.54, 367.44",53.0,11.4496282644951,,
6.54,3.26,0.8,0.28,203,59.0,39.0,distr,y/s,free,y/u,"1378.36, 171.41","1517.54, 367.44",53.0,11.43365924393872,0.0,0.0981446
6.54,3.26,0.8,0.28,152,59.0,39.0,distr,y/s,free,y/u,"393.82, 174.68","1756.92, 201.62",53.0,11.41839094340025,0.0,0.0981446
6.54,3.26,0.8,0.28,101,59.0,39.0,distr,y/s,free,y/u,"396.77, 165.64","2887.92, 200.15",53.0,11.4032221566182,0.0,0.0981446
6.54,3.26,0.8,0.28,50,59.0,39.0,distr,y/s,free,y/u,"900.76, 168.42","2887.92, 200.15",53.0,11.38814254127404,0.0,0.0981446
7.13,2.05,0.67,0.33,399,57.0,48.0,free,e/h,foc,e/u,"2500.00, 500.00","1941.10, 236.23",61.0,11.83325725577876,0.901855,1.0
7.13,2.05,0.67,0.33,319,57.0,48.0,free,e/h,foc,e/u,"744.51, 188.61","2374.28, 200.38",61.0,11.8087259006289,0.901855,1.0
7.13,2.05,0.67,0.33,239,57.0,48.0,free,e/h,foc,e/u,"1142.22, 173.36","2902.28, 200.06",61.0,11.78502216438149,0.901855,1.0
7.13,2.05,0.67,0.33,159,57.0,48.0,free,e/h,foc,e/u,"2689.62, 192.33","2902.28, 200.06",61.0,11.76094505183211,,
7.13,2.05,0.67,0.33,79,57.0,48.0,free,e/h,foc,e/u,"2689.62, 192.33","2902.28, 200.06",61.0,11.73767981433405,,
6.54,3.26,0.8,0.28,254,59.0,39.0,distr,y/s,free,y/u,"2500.00, 500.00","1517.54, 367.44",53.0,11.4496282644951,,
6.54,3.26,0.8,0.28,203,59.0,39.0,distr,y/s,free,y/u,"1316.55, 171.39","1517.54, 367.44",53.0,11.4336587299986,0.0,0.0981446
6.54,3.26,0.8,0.28,152,59.0,39.0,distr,y/s,free,y/u,"391.09, 174.55","1517.54, 367.44",53.0,11.41841573909037,0.0,0.0981446
6.54,3.26,0.8,0.28,101,59.0,39.0,distr,y/s,free,y/u,"391.09, 174.55","2614.92, 200.50",53.0,11.40323213716026,0.0,0.0981446
6.54,3.26,0.8,0.28,50,59.0,39.0,distr,y/s,free,y/u,"394.13, 165.17","2887.92, 200.15",53.0,11.38815946228774,0.0,0.0981446
5.32,2.41,0.7,0.38,320,91.0,80.0,free,e/s,distr,y/s,"2500.00, 500.00","2346.51, 607.33",69.0,11.75538819756654,0.773642,0.87345
5.32,2.41,0.7,0.38,256,91.0,80.0,free,e/s,distr,y/s,"377.74, 162.09","2304.27, 453.01",69.0,11.73574687813063,0.736056,0.835777
5.32,2.41,0.7,0.38,192,91.0,80.0,free,e/s,distr,y/s,"377.74, 162.09","2304.27, 453.01",69.0,11.71625870652998,0.432781,0.532652
5.32,2.41,0.7,0.38,128,91.0,80.0,free,e/s,distr,y/s,"377.74, 162.09","1382.33, 194.81",69.0,11.69751951087057,0.0,0.0981446
5.32,2.41,0.7,0.38,64,91.0,80.0,free,e/s,distr,y/s,"380.36, 154.75","2854.51, 194.35",69.0,11.67830818075173,0.0,0.0981446
5.32,2.41,0.7,0.38,320,91.0,80.0,free,e/s,distr,y/s,"2500.00, 500.00","2346.51, 607.33",69.0,11.75538819756654,0.746704,0.846449
5.32,2.41,0.7,0.38,256,91.0,80.0,free,e/s,distr,y/s,"377.74, 162.09","2262.03, 298.68",69.0,11.73575147123838,0.754973,0.854913
5.32,2.41,0.7,0.38,192,91.0,80.0,free,e/s,distr,y/s,"377.74, 162.09","2540.12, 198.49",69.0,11.71626141474653,0.752613,0.852603
5.32,2.41,0.7,0.38,128,91.0,80.0,free,e/s,distr,y/s,"500.00, 200.00","2876.11, 199.59",69.0,11.69753108678392,0.901855,1.0
5.32,2.41,0.7,0.38,64,91.0,80.0,free,e/s,distr,y/s,"2823.15, 190.92","2876.11, 199.59",69.0,11.67830609987213,,
7.13,2.05,0.67,0.33,458,57.0,48.0,free,e/h,foc,e/u,"2500.00, 500.00","1941.10, 236.23",61.0,11.83325114853466,0.901855,1.0
7.13,2.05,0.67,0.33,367,57.0,48.0,free,e/h,foc,e/u,"687.40, 190.99","2854.28, 200.09",61.0,11.80568149068181,0.901855,1.0
7.13,2.05,0.67,0.33,276,57.0,48.0,free,e/h,foc,e/u,"2461.56, 187.02","2902.28, 200.06",61.0,11.77839516005671,,
7.13,2.05,0.67,0.33,185,57.0,48.0,free,e/h,foc,e/u,"2632.51, 191.14","2902.28, 200.06",61.0,11.75139108045969,,
7.13,2.05,0.67,0.33,94,57.0,48.0,free,e/h,foc,e/u,"2632.51, 191.14","2902.28, 200.06",61.0,11.72524440902418,,
7.13,2.05,0.67,0.33,3,57.0,48.0,free,e/h,foc,e/u,"2632.51, 191.14","2902.28, 200.06",61.0,11.6993714369988,,
5.27,4.07,0.58,0.23,528,42.0,35.0,foc,e/s,foc,y/h,"2500.00, 500.00","2465.21, 621.76",51.0,11.88849346862978,0.901855,1.0
5.27,4.07,0.58,0.23,423,42.0,21.0,foc,e/s,foc,y/h,"827.32, 185.54","1621.16, 205.67",51.0,11.85665390178909,0.901855,1.0
5.27,4.07,0.58,0.23,318,42.0,21.0,foc,e/s,foc,y/h,"1003.19, 178.79","2909.15, 200.37",51.0,11.82520777325388,0.901855,1.0
5.27,4.07,0.58,0.23,213,42.0,21.0,foc,e/s,foc,y/h,"2940.53, 196.78","2909.15, 200.37",51.0,11.79471913947905,,
5.27,4.07,0.58,0.23,108,42.0,21.0,foc,e/s,foc,y/h,"2940.53, 196.78","2909.15, 200.37",51.0,11.76400099593027,,
5.27,4.07,0.58,0.23,3,42.0,21.0,foc,e/s,foc,y/h,"2940.53, 196.78","2909.15, 200.37",51.0,11.73480171686902,,
7.13,2.05,0.67,0.33,458,57.0,48.0,free,e/h,foc,e/u,"2500.00, 500.00","1941.10, 236.23",61.0,11.83325114853466,0.901855,1.0
7.13,2.05,0.67,0.33,367,57.0,48.0,free,e/h,foc,e/u,"744.51, 188.61","2854.28, 200.09",61.0,11.80568234313594,0.901855,1.0
7.13,2.05,0.67,0.33,276,57.0,48.0,free,e/h,foc,e/u,"2290.77, 183.12","2902.28, 200.06",61.0,11.77839571188923,0.901855,1.0
7.13,2.05,0.67,0.33,185,57.0,48.0,free,e/h,foc,e/u,"2689.65, 192.61","2902.28, 200.06",61.0,11.75138040171851,,
7.13,2.05,0.67,0.33,94,57.0,48.0,free,e/h,foc,e/u,"2689.65, 192.61","2902.28, 200.06",61.0,11.72523631194333,,
7.13,2.05,0.67,0.33,3,57.0,48.0,free,e/h,foc,e/u,"2689.65, 192.61","2902.28, 200.06",61.0,11.69935741464983,,
7.46,4.02,0.79,0.32,392,75.0,45.0,distr,e/h,distr,y/u,"2500.00, 500.00","1630.23, 335.40",56.0,11.46526223716526,0.264825,0.364825
7.46,4.02,0.79,0.32,314,45.0,45.0,distr,e/h,distr,y/u,"617.64, 193.15","1513.86, 266.96",56.0,11.44133972832586,0.260921,0.360877
7.46,4.02,0.79,0.32,236,45.0,45.0,distr,e/h,distr,y/u,"617.64, 193.15","1400.00, 200.00",56.0,11.41823940020671,0.160035,0.25979
7.46,4.02,0.79,0.32,158,45.0,45.0,distr,e/h,distr,y/u,"472.29, 171.86","2889.47, 204.98",56.0,11.39474698400715,0.275502,0.375352
7.46,4.02,0.79,0.32,80,45.0,45.0,distr,e/h,distr,y/u,"2881.90, 194.04","2889.47, 204.98",56.0,11.37205754442796,,
7.46,4.02,0.79,0.32,2,45.0,45.0,distr,e/h,distr,y/u,"2881.90, 194.04","2889.47, 204.98",56.0,11.3495643765327,,
5.11,2.96,0.58,0.21,579,97.0,46.0,foc,y/h,foc,y/s,"2500.00, 500.00","1015.82, 740.08",41.0,11.46206796263915,0.000468738,0.0989152
5.11,2.96,0.58,0.21,463,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.42659254475621,0.901855,1.0
5.11,2.96,0.58,0.21,347,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.39218014484536,0.901855,1.0
5.11,2.96,0.58,0.21,231,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.35821190793203,0.0,0.0981446
5.11,2.96,0.58,0.21,115,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.32527915511117,0.0,0.0981446
5.11,2.96,0.58,0.21,579,97.0,46.0,foc,y/h,foc,y/s,"2500.00, 500.00","1015.82, 740.08",41.0,11.46206796263915,0.000468738,0.0989152
5.11,2.96,0.58,0.21,463,97.0,46.0,foc,y/h,foc,y/s,"374.59, 160.37","1015.82, 740.08",41.0,11.42657733695279,0.901855,1.0
5.11,2.96,0.58,0.21,347,97.0,46.0,foc,y/h,foc,y/s,"374.59, 160.37","1015.82, 740.08",41.0,11.39216818724223,0.901855,1.0
5.11,2.96,0.58,0.21,231,97.0,46.0,foc,y/h,foc,y/s,"374.59, 160.37","1015.82, 740.08",41.0,11.35879782250136,0.0,0.0981446
5.11,2.96,0.58,0.21,115,97.0,46.0,foc,y/h,foc,y/s,"374.59, 160.37","1015.82, 740.08",41.0,11.32526033282984,0.0,0.0981446
5.27,4.07,0.58,0.23,528,42.0,35.0,foc,e/s,foc,y/h,"2500.00, 500.00","2465.21, 621.76",51.0,11.88849346862978,0.901855,1.0
5.27,4.07,0.58,0.23,423,42.0,35.0,foc,e/s,foc,y/h,"809.99, 187.80","1761.08, 206.33",51.0,11.8566529266073,0.901855,1.0
5.27,4.07,0.58,0.23,318,42.0,35.0,foc,e/s,foc,y/h,"1143.75, 175.01","2923.07, 200.39",51.0,11.8251923814028,0.901855,1.0
5.27,4.07,0.58,0.23,213,42.0,35.0,foc,e/s,foc,y/h,"2932.24, 196.61","2923.07, 200.39",51.0,11.79470508666187,,
5.27,4.07,0.58,0.23,108,42.0,35.0,foc,e/s,foc,y/h,"2932.24, 196.61","2923.07, 200.39",51.0,11.76456910285801,,
5.27,4.07,0.58,0.23,3,42.0,35.0,foc,e/s,foc,y/h,"2932.24, 196.61","2923.07, 200.39",51.0,11.73478115103899,,
5.27,4.07,0.58,0.23,528,42.0,35.0,foc,e/s,foc,y/h,"2500.00, 500.00","2465.21, 621.76",51.0,11.88849346862978,0.901855,1.0
5.27,4.07,0.58,0.23,423,42.0,21.0,foc,e/s,foc,y/h,"827.32, 185.54","1642.16, 205.58",51.0,11.85665531673292,0.901855,1.0
5.27,4.07,0.58,0.23,318,42.0,21.0,foc,e/s,foc,y/h,"1086.13, 175.61","2923.15, 200.32",51.0,11.82520635216278,0.901855,1.0
5.27,4.07,0.58,0.23,213,42.0,21.0,foc,e/s,foc,y/h,"2924.56, 196.41","2923.15, 200.32",51.0,11.79469709511574,,
5.27,4.07,0.58,0.23,108,42.0,21.0,foc,e/s,foc,y/h,"2924.56, 196.41","2923.15, 200.32",51.0,11.76455067504227,,
5.27,4.07,0.58,0.23,3,42.0,21.0,foc,e/s,foc,y/h,"2924.56, 196.41","2923.15, 200.32",51.0,11.73476587566287,,
5.11,2.96,0.58,0.21,579,97.0,46.0,foc,y/h,foc,y/s,"2500.00, 500.00","1015.82, 740.08",41.0,11.46206796263915,0.0,0.0981446
5.11,2.96,0.58,0.21,463,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.42657470544307,0.901855,1.0
5.11,2.96,0.58,0.21,347,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.39217944521937,0.901855,1.0
5.11,2.96,0.58,0.21,231,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.35821190799733,0.0,0.0981446
5.11,2.96,0.58,0.21,115,97.0,46.0,foc,y/h,foc,y/s,"337.44, 158.12","1015.82, 740.08",41.0,11.32527652215719,0.0,0.0981446
5.32,2.41,0.7,0.38,320,91.0,80.0,free,e/s,distr,y/s,"2500.00, 500.00","2346.51, 607.33",69.0,11.75538819756654,0.757374,0.857253
5.32,2.41,0.7,0.38,256,91.0,80.0,free,e/s,distr,y/s,"342.16, 160.72","1705.67, 234.99",69.0,11.73574558461646,0.692834,0.792735
5.32,2.41,0.7,0.38,192,91.0,80.0,free,e/s,distr,y/s,"500.00, 200.00","2874.80, 195.11",69.0,11.71624976658989,0.901855,1.0
5.32,2.41,0.7,0.38,128,91.0,80.0,free,e/s,distr,y/s,"2878.61, 194.06","2874.80, 195.11",69.0,11.69751505857491,,
5.32,2.41,0.7,0.38,64,91.0,80.0,free,e/s,distr,y/s,"2878.61, 194.06","2874.80, 195.11",69.0,11.67829601610625,,
7.46,4.02,0.79,0.32,392,75.0,45.0,distr,e/h,distr,y/u,"2500.00, 500.00","1630.23, 335.40",56.0,11.46526223716526,,
7.46,4.02,0.79,0.32,314,45.0,45.0,distr,e/h,distr,y/u,"602.45, 194.09","1436.81, 214.08",56.0,11.44134653189425,0.400152,0.500098
7.46,4.02,0.79,0.32,236,45.0,45.0,distr,e/h,distr,y/u,"602.45, 194.09","2543.76, 204.11",56.0,11.41825271624072,0.176811,0.276565
7.46,4.02,0.79,0.32,158,45.0,45.0,distr,e/h,distr,y/u,"457.38, 172.01","2867.75, 201.19",56.0,11.39476533980268,0.247697,0.347638
7.46,4.02,0.79,0.32,80,45.0,45.0,distr,e/h,distr,y/u,"1546.90, 168.69","2867.75, 201.19",56.0,11.3720813946905,0.140376,0.240181
7.46,4.02,0.79,0.32,2,45.0,45.0,distr,e/h,distr,y/u,"2791.61, 195.51","2867.75, 201.19",56.0,11.34958464497588,,
6.54,3.26,0.8,0.28,254,59.0,39.0,distr,y/s,free,y/u,"2500.00, 500.00","1517.54, 367.44",53.0,11.4496282644951,,
6.54,3.26,0.8,0.28,203,35.0,39.0,distr,y/s,free,y/u,"1483.31, 168.34","1517.54, 367.44",53.0,11.43365925322995,0.0,0.0981446
6.54,3.26,0.8,0.28,152,59.0,39.0,distr,y/s,free,y/u,"445.76, 198.66","1405.50, 207.84",53.0,11.41839694966242,0.0,0.0981446
6.54,3.26,0.8,0.28,101,59.0,39.0,distr,y/s,free,y/u,"391.87, 174.65","2887.92, 200.15",53.0,11.4032171542882,0.0,0.0981446
6.54,3.26,0.8,0.28,50,59.0,39.0,distr,y/s,free,y/u,"391.87, 174.65","2887.92, 200.15",53.0,11.38813712471166,0.0,0.0981446
7.46,4.02,0.79,0.32,399,75.0,45.0,distr,e/h,distr,y/u,"2500.00, 500.00","1630.23, 335.40",56.0,11.46526223716526,0.288451,0.388274
7.46,4.02,0.79,0.32,319,45.0,45.0,distr,e/h,distr,y/u,"677.24, 192.53","1526.80, 213.27",56.0,11.44074721042832,0.421586,0.521483
7.46,4.02,0.79,0.32,239,45.0,45.0,distr,e/h,distr,y/u,"602.31, 195.69","2903.75, 200.87",56.0,11.41704194285979,0.54466,0.644596
7.46,4.02,0.79,0.32,159,45.0,45.0,distr,e/h,distr,y/u,"2611.43, 191.42","2903.75, 200.87",56.0,11.39297210289077,0.829024,0.928777
7.46,4.02,0.79,0.32,79,45.0,45.0,distr,e/h,distr,y/u,"2761.39, 194.73","2903.75, 200.87",56.0,11.36970137860725,,
